Population,Biomass,Frequency
CD16+ NK,Low,22.42575493
CD16+ NK,Low,15.23425008
CD16+ NK,Low,21.78688766
CD16+ NK,Low,3.240921515
CD16+ NK,Low,11.8226391
CD16+ NK,High,15.23018918
CD16+ NK,High,6.887239835
CD16+ NK,High,36.95344328
CD16+ NK,High,38.07102148
CD16+ NK,High,14.94704857
CD16lo CD56hi NK,Low,1.307711505
CD16lo CD56hi NK,Low,0.51167253
CD16lo CD56hi NK,Low,1.7849262
CD16lo CD56hi NK,Low,0.175712612
CD16lo CD56hi NK,Low,0.937966318
CD16lo CD56hi NK,High,0.952506945
CD16lo CD56hi NK,High,0.97479582
CD16lo CD56hi NK,High,1.618701118
CD16lo CD56hi NK,High,1.611135467
CD16lo CD56hi NK,High,1.067965503
CD14+ monocytes,Low,54.41477415
CD14+ monocytes,Low,59.78573713
CD14+ monocytes,Low,56.94601089
CD14+ monocytes,Low,83.0600026
CD14+ monocytes,Low,67.40993392
CD14+ monocytes,High,66.55642281
CD14+ monocytes,High,66.20049179
CD14+ monocytes,High,40.00130716
CD14+ monocytes,High,34.40377028
CD14+ monocytes,High,65.3782564
CD16+ monocytes,Low,1.103069628
CD16+ monocytes,Low,11.64854493
CD16+ monocytes,Low,5.237091159
CD16+ monocytes,Low,3.019653781
CD16+ monocytes,Low,8.258367086
CD16+ monocytes,High,4.190369096
CD16+ monocytes,High,12.03345921
CD16+ monocytes,High,9.505239537
CD16+ monocytes,High,15.06137659
CD16+ monocytes,High,3.494347379
cDC1,Low,0.119790367
cDC1,Low,0.203869524
cDC1,Low,0.205953023
cDC1,Low,0.045555122
cDC1,Low,0.115114048
cDC1,High,0.214975526
cDC1,High,0.191007289
cDC1,High,0.104572885
cDC1,High,0.129329242
cDC1,High,0.084901023
cDC2,Low,3.973047167
cDC2,Low,2.478413815
cDC2,Low,2.976511548
cDC2,Low,0.592216582
cDC2,Low,1.743764656
cDC2,High,2.103452838
cDC2,High,3.927724598
cDC2,High,1.83002549
cDC2,High,1.532222709
cDC2,High,3.985879619
pDC,Low,1.083104567
pDC,Low,0.931403902
pDC,Low,1.235718139
pDC,Low,0.175712612
pDC,Low,1.202302281
pDC,High,1.666887154
pDC,High,2.928778432
pDC,High,1.045728851
pDC,High,0.850504165
pDC,High,0.987532955
