Population,Biomass,Frequency
IgDhi B cells,Low,74.63050273
IgDhi B cells,Low,84.94985575
IgDhi B cells,Low,67.08963283
IgDhi B cells,Low,75.997426
IgDhi B cells,Low,72.81807603
IgDhi B cells,High,79.84780897
IgDhi B cells,High,71.12085254
IgDhi B cells,High,78.83132202
IgDhi B cells,High,84.62616227
IgDhi B cells,High,90.01682557
IgMhi B cellls,Low,6.219208561
IgMhi B cellls,Low,4.155790631
IgMhi B cellls,Low,8.963282937
IgMhi B cellls,Low,2.574002574
IgMhi B cellls,Low,7.738557021
IgMhi B cellls,High,3.601416951
IgMhi B cellls,High,13.08291134
IgMhi B cellls,High,8.311405499
IgMhi B cellls,High,4.286078207
IgMhi B cellls,High,2.237178289
IgD- IgM- B cells,Low,16.84589712
IgD- IgM- B cells,Low,7.762055227
IgD- IgM- B cells,Low,18.08855292
IgD- IgM- B cells,Low,20.01287001
IgD- IgM- B cells,Low,16.52443755
IgD- IgM- B cells,High,13.11991603
IgD- IgM- B cells,High,12.75791701
IgD- IgM- B cells,High,9.853915253
IgD- IgM- B cells,High,7.349382244
IgD- IgM- B cells,High,5.527512931
