Marker,Population,Biomass,Median
CD16-EQ-165Ho,CD14+ monocytes,Low,0.76235494
CD16-EQ-165Ho,CD14+ monocytes,Low,8.177599907
CD16-EQ-165Ho,CD14+ monocytes,Low,7.72787714
CD16-EQ-165Ho,CD14+ monocytes,Low,3.995989323
CD16-EQ-165Ho,CD14+ monocytes,Low,9.701552391
CD16-EQ-165Ho,CD14+ monocytes,High,0.901382327
CD16-EQ-165Ho,CD14+ monocytes,High,3.129906893
CD16-EQ-165Ho,CD14+ monocytes,High,3.438247442
CD16-EQ-165Ho,CD14+ monocytes,High,2.523115635
CD16-EQ-165Ho,CD14+ monocytes,High,6.058946133
CD16-EQ-165Ho,CD16+ monocytes,Low,220.7819214
CD16-EQ-165Ho,CD16+ monocytes,Low,388.7723541
CD16-EQ-165Ho,CD16+ monocytes,Low,590.6382141
CD16-EQ-165Ho,CD16+ monocytes,Low,119.5459251
CD16-EQ-165Ho,CD16+ monocytes,Low,636.7886353
CD16-EQ-165Ho,CD16+ monocytes,High,492.2198486
CD16-EQ-165Ho,CD16+ monocytes,High,936.7677612
CD16-EQ-165Ho,CD16+ monocytes,High,738.8786011
CD16-EQ-165Ho,CD16+ monocytes,High,946.2041016
CD16-EQ-165Ho,CD16+ monocytes,High,277.1222839
CD16-EQ-165Ho,CD45lo CD66b+,Low,174.3719101
CD16-EQ-165Ho,CD45lo CD66b+,Low,277.8579407
CD16-EQ-165Ho,CD45lo CD66b+,Low,169.1733856
CD16-EQ-165Ho,CD45lo CD66b+,Low,166.175972
CD16-EQ-165Ho,CD45lo CD66b+,Low,238.4292297
CD16-EQ-165Ho,CD45lo CD66b+,High,216.1352768
CD16-EQ-165Ho,CD45lo CD66b+,High,335.3953857
CD16-EQ-165Ho,CD45lo CD66b+,High,144.0745392
CD16-EQ-165Ho,CD45lo CD66b+,High,119.7733231
CD16-EQ-165Ho,CD45lo CD66b+,High,202.0866241
CD14-160Gd,CD14+ monocytes,Low,72.28031158
CD14-160Gd,CD14+ monocytes,Low,140.8085403
CD14-160Gd,CD14+ monocytes,Low,107.2214737
CD14-160Gd,CD14+ monocytes,Low,57.60406494
CD14-160Gd,CD14+ monocytes,Low,81.04239655
CD14-160Gd,CD14+ monocytes,High,122.2546806
CD14-160Gd,CD14+ monocytes,High,104.9862366
CD14-160Gd,CD14+ monocytes,High,120.9320221
CD14-160Gd,CD14+ monocytes,High,208.7812042
CD14-160Gd,CD14+ monocytes,High,106.6071167
CD14-160Gd,CD16+ monocytes,Low,1.18766892
CD14-160Gd,CD16+ monocytes,Low,3.272024393
CD14-160Gd,CD16+ monocytes,Low,3.297710061
CD14-160Gd,CD16+ monocytes,Low,36.95100212
CD14-160Gd,CD16+ monocytes,Low,2.923213959
CD14-160Gd,CD16+ monocytes,High,7.247474194
CD14-160Gd,CD16+ monocytes,High,3.176763296
CD14-160Gd,CD16+ monocytes,High,2.850434542
CD14-160Gd,CD16+ monocytes,High,3.476491213
CD14-160Gd,CD16+ monocytes,High,3.439873576
CD14-160Gd,CD45lo CD66b+,Low,0
CD14-160Gd,CD45lo CD66b+,Low,0
CD14-160Gd,CD45lo CD66b+,Low,0
CD14-160Gd,CD45lo CD66b+,Low,0
CD14-160Gd,CD45lo CD66b+,Low,0
CD14-160Gd,CD45lo CD66b+,High,0.209306203
CD14-160Gd,CD45lo CD66b+,High,0
CD14-160Gd,CD45lo CD66b+,High,0.379731566
CD14-160Gd,CD45lo CD66b+,High,0.252813309
CD14-160Gd,CD45lo CD66b+,High,0
